round_epochs,val_loss,loss,batch_size,epochs,first_lstm,layers,loss,optimizer,window_size
10,0.00018185748625943816,0.00017456683601442432,128,10,8,1,mse,adamax,1
10,0.0025952008959187547,0.0026142779170226817,128,10,8,3,mse,sgd,24
10,0.00018414013996574655,0.00017641329010704623,128,10,8,2,mse,adamax,24
10,0.00018226747331023178,0.0001777325361739214,128,10,32,4,mse,nadam,1
10,0.0001841678915436234,0.0001715110577432575,128,10,32,3,mse,adam,24
10,0.00018014951725968409,0.0001736090241413997,128,10,16,1,mse,adamax,1
10,0.00022128383922403387,0.00020145526385475945,128,10,32,4,mse,rmsprop,24
10,0.00017776939881936887,0.00017182848738971025,128,10,16,1,mse,adam,24
10,0.0001802875106602644,0.00017167986684731197,128,10,4,1,mse,rmsprop,24
10,0.0001783500634576091,0.00017424207415005411,128,10,8,4,mse,adamax,100
10,0.0001816745175219667,0.00017237297130845045,128,10,4,2,mse,nadam,100
10,0.002149868629429396,0.0021684243463876126,128,10,4,1,mse,sgd,1
10,0.00017484257017597333,0.00016895694090412173,128,10,4,4,mse,adam,24
10,0.0023908035131367457,0.002412034180683473,128,10,16,1,mse,sgd,24
10,0.00017705383279748049,0.00017254358974488568,128,10,16,2,mse,nadam,24
10,0.0025927298489521115,0.0026121766506869556,128,10,32,4,mse,sgd,100
10,0.00018305634025544236,0.00017232605899377174,128,10,4,1,mse,rmsprop,100
10,0.00018561463063445453,0.0001803018634023144,128,10,32,3,mse,adamax,100
